CONTAMINATION RESULTS (Summary Across All Patterns)
====================================================

Attack_Node	Node_Name	Avg_Contaminated	Min_Contaminated	Max_Contaminated
0	1	2.04	1	5
1	10	11.16	1	18
2	101	11.28	2	17
3	103	9.08	1	14
4	105	2.00	2	2
5	107	1.00	1	1
6	109	8.16	1	13
7	111	10.96	6	12
8	113	6.60	1	8
9	115	12.16	8	13
10	117	2.60	1	5
11	119	11.40	8	17
12	120	3.92	1	8
13	121	16.28	10	25
14	123	2.72	2	3
15	125	4.20	2	7
16	127	5.00	5	5
17	129	4.00	4	4
18	131	1.00	1	1
19	139	2.00	2	2
20	141	1.00	1	1
21	143	1.00	1	1
22	145	1.56	1	2
23	147	2.96	2	3
24	149	1.40	1	2
25	15	1.00	1	1
26	151	1.00	1	1
27	153	1.00	1	1
28	157	6.44	6	7
29	159	5.44	5	6
30	161	4.44	4	5
31	163	3.00	3	3
32	164	2.00	2	2
33	166	1.00	1	1
34	167	1.00	1	1
35	169	15.68	14	19
36	171	10.32	7	12
37	173	9.32	6	11
38	177	1.36	1	2
39	179	1.16	1	3
40	181	1.72	1	3
41	183	2.00	2	2
42	184	6.00	6	6
43	185	1.00	1	1
44	187	3.00	3	3
45	189	3.80	3	5
46	191	6.40	4	9
47	193	5.64	1	7
48	195	1.00	1	1
49	197	7.40	5	10
50	199	8.32	5	10
51	2	2.68	1	5
52	20	3.80	1	6
53	201	5.00	2	7
54	203	1.00	1	1
55	204	2.00	2	2
56	205	5.00	5	5
57	206	3.00	3	3
58	207	4.00	4	4
59	208	2.00	2	2
60	209	1.00	1	1
61	211	15.56	9	17
62	213	7.00	7	7
63	215	4.00	4	4
64	217	3.00	3	3
65	219	1.00	1	1
66	225	1.00	1	1
67	229	2.00	2	2
68	231	1.00	1	1
69	237	8.60	3	11
70	239	6.68	1	8
71	241	4.36	2	5
72	243	1.00	1	1
73	247	2.64	1	3
74	249	1.80	1	2
75	251	1.00	1	1
76	253	1.00	1	1
77	255	2.24	2	3
78	257	3.04	1	6
79	259	2.20	1	4
80	261	2.20	1	4
81	263	1.80	1	3
82	265	17.08	15	21
83	267	4.80	4	6
84	269	4.36	2	7
85	271	1.00	1	1
86	273	5.32	2	7
87	275	4.04	1	5
88	3	4.36	1	7
89	35	1.00	1	1
90	40	1.60	1	4
91	50	2.20	1	4
92	60	3.72	3	4
93	601	3.16	1	4
94	61	3.00	3	3
95	Lake	11.76	1	19
96	River	4.72	4	5
